"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.59197006924308","3.10843920500336","3.96254301219474","5.76986990463084","5.61485908067769","3.82233610933164","5.30031497773442","6.28797385400087","3.37583726780734","3.25948676969425","3.70423873545009","6.59294903511991","2.19006039474596","1.02758340167905","-2.82482461011597","4.4466037644241","3.03079849433546","2.81721365536811","5.06249126984655","3.48522647295395","5.15793661182397","4.26406334686595","1.70383781144128","-1.21664207022754","4.01181416993168","0.168847373421684","-1.9867549668874","2.33510856206473","2.53159203921001","-1.38971311410744","-1.75393532953404","2.26327072846355","5.56880541962809","-2.90275639903498","",
"Africa Eastern and Southern","AFE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","1.8617011355291","0.97987796639574","3.15005277433813","3.72697762319505","3.5699509035563","3.92852439861289","1.3564853902262","3.39772279390527","5.22110647397957","4.9375235930307","4.66418002291388","10.1813984597602","11.9008758075883","14.8176062024799","11.9337531308028","10.0377075796623","10.3513045714061","10.6558795495966","14.5712374014441","19.2052947583143","10.8638994714453","7.69747177597071","11.556841727952","11.1505445547794","16.1443312605572","13.5092843236489","11.7357835170852","20.0811009249169","14.7982343633476","11.9263048389071","12.5319618961838","14.2531376764685","13.3768641263433","10.970426743749","12.8165184306103","14.4531114060499","9.01894074585519","8.26955483499275","8.00681327830817","11.117305882147","8.62998398922237","9.45926497236815","8.11271176099276","9.83959057683435","7.40752901026004","8.59255310013562","8.25956814315703","11.4630397755144","7.57021242824413","6.12843243160444","9.43027047205072","6.99201628115405","5.84411140067347","5.56073595485963","5.36646229778501","6.40090045368644","5.21743086615295","4.08575105594997","4.38734148957323","4.9955067795573","5.8403944311",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.655238211175","11.2714320712639","10.9127735539374","7.19975128908025","22.5277561997899","2.09628874882868","-2.16340442783005","3.81463031709113","16.5933467311629","7.30175647136598","4.82278547931647","0.566944540816536","2.44756300204637","-2.19752646590604","2.40365618844285","2.07134857890898","6.52147984507825","7.82166712677619","",
"Africa Western and Central","AFW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","3.33614829236798","2.43266332710795","3.01391715577817","2.906177950873","2.75243171318678","4.14307892070862","1.28037535067494","2.03146493895743","4.83856099609655","3.71045521228307","4.18919648768647","5.14581077272575","7.19899600572515","13.4226391288569","8.58677208918526","12.0547725634684","11.043108303528","7.66739154644659","11.1739395324355","11.9782490167997","10.6252870249993","13.8205590460171","9.92793639852343","11.315050030616","5.29721350555091","0.0204677933814637","1.68456342698155","3.40855660018133","3.58485904083869","6.66894186986168","3.0734989661165","0.738816824028547","2.37832182418319","25.0620427392601","7.68083409226116","6.90729366487193","3.66750917412438","5.38736139649049","7.61207819396112","5.2898048599024","4.31995749994334","2.24006068269421","1.718821631066","5.68195133906449","6.6889339462895","4.64332214023644","4.76187830033287","9.57675740925085","1.3962190528371","5.00466529801282","8.7898412934254","4.73009483525227","1.57313536817723","0.280788086705584","1.99284630002042","1.78417196818288","1.75910576861605","2.63937170560153","1.58228957609332","1.12835169226734","4.82115460502061",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.1003061669614","0","0.0127635583866379","0.0011881098994877","19.0352057407944","-9.01306191994358","9.8233113499663","2.21377444948736","16.2796626853837","14.0074398272592","106.309982268478","476.51575086326","917.783468411763","2175.97895508759","1825.49514900731","4800.53164415744","95.4530221791129","39.3593483252693","557.501113091215","418.018991534099","106.352125501451","196.984099399931","93.9265669067308","33.4435947900255","42.3742492617284","17.1156651448542","4.30843221207182","19.3657735558326","-16.7621402901592","31.6881762457922","31.7740748860487","7.25783205139932","2.84424440365498","3.56341330066468","-3.51497153517806","21.774173527271","22.6179364991191","28.1670288537532","19.1842756572896","18.0367682973202","44.3844480495894",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.13957198618188","-0.0177190996205354","-0.0167551716364898","-0.0283602576437829","0.35122234783789","-2.41730042881588","-0.000306092920837386","-0.00057857927218663","0.0036791601611128","-0.431368812605911","35.5142469575829","232.984658866956","125.650814219817","35.8424752083078","9.9706626786687","38.1720581994814","11.2396444802125","6.73085990507577","2.10284998886902","5.6474714679938","3.81085737408868","3.6474762708812","5.19863530307683","3.15236892537025","3.30681814689954","2.47818888688769","4.3867093833438","4.11708542559394","2.41833605890835","4.49314320031891","2.31474379699794","1.04271460643407","0.288745964127756","1.54991706986272","0.563991350160876","-0.632653419095547","1.45106269924993","1.47305810274607","1.25658995186268","0.678486248525417","5.92480933573279",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.84587099183875","8.51807771346922","11.8494338560781","15.9452012982009","16.7817954074984","16.4898572156615","23.3830925565265","20.6310414051034","16.9316890728162","13.3548138415481","12.3511732151061","13.5823498320276","11.8842352506624","10.8647343748366","8.59546375990811","10.8788152586437","5.94419880985619","5.93612498887575","6.89620714121754","7.32624365834135","6.93514836160884","6.71076896051142","4.53723214675858","3.87985832158631","4.93312104936552","0.797177729321263","2.22816030666122","1.49955384331271","2.73197952535102","28.7415528975991","3.08053517916559","3.23953176987777","3.17748421556476","3.04242399802695","3.39610212995052","3.45718408670396","3.21122734131436","2.27433831984322","0.132136132405464","0.374313758110119","0.196764152031051","0.174556905779482","0.448492200194735","-0.0840193165570753","0.660588959137868","0.347795381575793","1.13650934319639","1.01247848005298","1.37475350829189","1.11378607410401","2.09646114081818",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","1.11297594221125","3.46769842542869","6.56187254978499","2.88672356635449","11.3940363035464","24.3947260867885","5.91402210987908","8.88889261239801","9.79471491224135","8.41721327900065","13.9878379189218","14.8820201167283","11.4107480094767","6.52970585465911","7.2557987701384","6.9812027481691","4.97252640228388","7.26025166616866","8.84202042232293","5.38319482790951","8.70341450471197","14.8277926846047","7.98205133796493","5.71674375897769","4.69134337171741","7.87371705849506","6.67831251259565","5.06481957781118","3.10842337468734","-1.92440064215164","6.62677859775942","10.4423450382107","0.715797566821095","3.97074773282308","5.01623968501226","11.0237842211026","15.3553047955353","9.8216053034922","8.34975631488513","16.479240691772","-5.74274652984533","11.7967632618993","14.3482865884814","4.63431300348469","1.52972454345669","0.606427212821437","-2.11493647065981","1.07465884201741","5.50739584975904","7.39380075340085","2.76004752825904","0.672423919007741","8.99094018917804",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","11.7743313549633","5.25575609125819","-3.66111149544004","7.05102054449354","9.51597603475069","7.05448398235431","1.31286872877227","-3.61801721852343","-6.09746718633876","0.74053288990028","-1.69848529741975","3.68558480261669","2.38104573165367","1.75127660936019","3.33590049399268","0.810848724715441","1.80682611993994","1.27803630532681","-0.262474922298338","3.90747975417074","5.77304390654221","-0.952300705805683","-4.25444532085106","8.44337745491752","11.4595357967841","-2.34930767171667","3.77083954880202","4.072406796076","8.50142205935694","16.5263069319227","11.9621492822572","12.5339606710296","18.5333530817247","-15.1829798840046","12.4901759424146","13.1672193765804","2.23845647847756","-0.866917896800274","-1.02486536783279","-15.4419352788584","-3.19321900308806","5.49510627918129","8.20653728779584","-4.44403710623381","-8.36335727123216","",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.3106975292444","28.871841649849","25.5911543467736","28.7746173199436","21.2329349262338","25.6034624252298","29.0182629357959","10.2753105597013","7.79583003395588","6.46787463930359","31.2710638841503","64.244785915035","65.535287370144","30.630441370392","197.697364543233","438.322779739816","159.42717769645","161.372172004157","147.377044034473","95.7904246128352","105.276366380064","194.535299663443","380.158528521919","611.196303891913","607.447497830085","77.2922366864133","127.539918059086","381.24634440952","3046.09115201119","2078.31681806978","140.502378661012","16.0719935356945","-3.56109557576575","2.84933971509302","3.16512339016516","-0.0523754965904146","-0.46391313116429","-1.70527962400085","-1.83655839220664","1.03728710073175","-1.09576771833679","30.555204053903","10.4957030215496","18.3633542492033","10.3175111982406","13.7410524859152","14.9399250245835","23.1711649813124","15.3776493708921","20.915124272047","23.7034721839593","22.3148806733049","23.9487984162746","40.2829716315506","26.5799916024707","41.1193799882279","26.0063792819079","42.0336689575031","50.9214987087306","39.8912174304965","54.0727640166505",
