Date,Gas consumption,UGS storage,LNG send out
2014-01-01,,0.17854725659999998,612.9231595425039
2014-01-02,,0.18800073,609.684587090774
2014-01-03,,0.193733052,606.4393509097197
2014-01-04,,0.193733052,603.1941147286653
2014-01-05,,0.1890111732,599.9622060062601
2014-01-06,,0.1913623968,596.7169698252058
2014-01-07,,0.1972404558,593.5783533133441
2014-01-08,,0.1983091938,590.3331171322898
2014-01-09,,0.1983091938,587.1145358685335
2014-01-10,,0.1983091938,583.9226095220755
2014-01-11,,0.19937793179999996,628.12978986112
2014-01-12,,0.19937793179999996,624.8978811387148
2014-01-13,,0.19772624579999998,614.8289861293243
2014-01-14,,0.18611586479999997,604.713445014662
2014-01-15,,0.18461963159999997,594.5979038999998
2014-01-16,,0.1825210188,585.475258454695
2014-01-17,,0.1836966306,582.2366860029651
2014-01-18,,0.1900993428,578.9914498219108
2014-01-19,,0.19383021,575.752877370181
2014-01-20,,0.19383021,572.5076411891266
2014-01-21,,0.19383021,569.4756443464578
2014-01-22,,0.19411196819999998,566.4369837744644
2014-01-23,,0.19650205499999998,563.398323202471
2014-01-24,,0.1921396608,560.3663263598021
2014-01-25,,0.19563734879999997,557.3276657878087
2014-01-26,,0.19449088439999998,554.2890052158152
2014-01-27,,0.19449088439999998,551.2570083731464
2014-01-28,,0.19449088439999998,548.2050203425039
2014-01-29,,0.1947726426,545.173023499835
2014-01-30,,0.1764000648,542.1343629278416
2014-01-31,,0.172698345,531.4990509258647
2014-02-01,,0.1722222708,528.4603903538713
2014-02-02,,0.172504029,525.421729781878
2014-02-03,,0.172504029,513.8335044864908
2014-02-04,,0.172504029,506.4434286655682
2014-02-05,,0.16965729959999998,502.8583422889619
2014-02-06,,0.16965729959999998,495.93472752075763
2014-02-07,,0.17069689019999998,492.8960669487642
2014-02-08,,0.17069689019999998,489.8574063767708
2014-02-09,,0.16926866759999998,486.81208207545285
2014-02-10,,0.16926866759999998,483.14703094695204
2014-02-11,,0.16362378779999998,470.64587473410194
2014-02-12,,0.1519648278,454.40636637018105
2014-02-13,,0.14871003479999997,451.0345193319603
2014-02-14,,0.1417243746,448.10247842915965
2014-02-15,,0.1398006462,445.17043752635897
2014-02-16,,0.1370316432,532.5852388057659
2014-02-17,,0.1353216624,610.4975620683688
2014-02-18,,0.1353216624,607.5655211655682
2014-02-19,,0.13674016919999998,604.6268165334429
2014-02-20,,0.13674016919999998,601.7347580065896
2014-02-21,,0.13674016919999998,598.7960533744643
2014-02-22,,0.153121008,595.8573487423391
2014-02-23,,0.169200657,592.9253078395385
2014-02-24,,0.17531189519999998,589.9866032074133
2014-02-25,,0.1733201562,587.0478985752881
2014-02-26,,0.172892661,584.1091939431628
2014-02-27,,0.1705900164,581.1771530403622
2014-02-28,,0.1638958302,578.238448408237
2014-03-01,,0.1638958302,575.2997437761119
2014-03-02,,0.1632157242,572.3610391439865
2014-03-03,,0.1492249722,569.4289982411859
2014-03-04,,0.1430068602,566.4902936090607
2014-03-05,,0.1430068602,563.5582527062601
2014-03-06,,0.1430068602,560.6195480741349
2014-03-07,,0.14501803079999998,557.6875071713342
2014-03-08,,0.1439590086,554.7554662685336
2014-03-09,,0.1439590086,551.8167616364084
2014-03-10,,0.1433954922,548.8780570042832
2014-03-11,,0.1433954922,545.9393523721579
2014-03-12,,0.1433954922,543.0073114693573
2014-03-13,,0.1433954922,540.0686068372321
2014-03-14,,0.151955112,537.1299022051069
2014-03-15,,0.16363350359999998,534.1978613023063
2014-03-16,,0.17530217939999998,531.259156670181
2014-03-17,,0.17530217939999998,528.3271157673804
2014-03-18,,0.1734561774,525.3884111352552
2014-03-19,,0.1783043616,522.4563702324544
2014-03-20,,0.1783043616,566.5436034436572
2014-03-21,,0.1916052918,563.6048988115319
2014-03-22,,0.1916052918,560.6661941794067
2014-03-23,,0.1916052918,557.6808434420096
2014-03-24,,0.1843475892,554.7421388098845
2014-03-25,,0.165945864,552.129956914662
2014-03-26,,0.150837795,549.204579741186
2014-03-27,,0.1384598658,546.2658751090607
2014-03-28,,0.13051234139999998,543.4337901461283
2014-03-29,,0.1340877558,540.4884217846786
2014-03-30,,0.1431040182,537.5563808818779
2014-03-31,,0.144813999,534.6243399790773
2014-04-01,,0.13283441759999998,531.6922990762765
2014-04-02,,0.1297156458,528.8135680080724
2014-04-03,,0.1121494794,525.874863375947
2014-04-04,,0.10382303879999999,523.0694333303129
2014-04-05,,0.107456748,520.1373924275122
2014-04-06,,0.11480189279999999,517.198687795387
2014-04-07,,0.11387889179999998,514.2599831632617
2014-04-08,,0.10702925279999999,511.30128734316287
2014-04-09,,0.1029486168,508.35591898171316
2014-04-10,,0.0882971904,505.417214349588
2014-04-11,,0.0817487412,502.5118283640855
2014-04-12,,0.08580994559999999,499.57978746128487
2014-04-13,,0.092591574,496.6410828291596
2014-04-14,,0.10605767279999999,493.70904192635896
2014-04-15,,0.11174141579999998,490.77033729423374
2014-04-16,,0.11439382919999999,487.8316326621086
2014-04-17,,0.1126838484,484.89959175930784
2014-04-18,,0.11221748999999999,481.9608871271827
2014-04-19,,0.11677420019999998,479.02884622438205
2014-04-20,,0.12446911379999999,475.97685819373953
2014-04-21,,0.1369053378,473.04481729093885
2014-04-22,,0.1331453232,470.11277638813823
2014-04-23,,0.1461062004,467.1807354853376
2014-04-24,,0.150254847,464.24869458253687
2014-04-25,,0.1447945674,461.3099899504117
2014-04-26,,0.1571239176,458.377949047611
2014-04-27,,0.1687537302,455.4459081448104
2014-04-28,,0.16163204879999998,452.80707133228975
2014-04-29,,0.1516247748,535.230739347611
2014-04-30,,0.14892378239999998,617.2945659794067
2014-05-01,,0.1396354776,614.3558613472816
2014-05-02,,0.1396354776,611.4171567151562
2014-05-03,,0.1393537194,608.4784520830311
2014-05-04,,0.14269595459999998,605.5397474509059
