Feature,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Population, total (thousands)",93216000,94055000,94933000,95900000,96903000,97952000,98851000,99879000,101011000,102219000,103403000,105697000,107188000,108707000,110162000,111573000,112775000,113872000,114913000,115890000,116807000,117661000,118480000,119307000,120083000,120837000,121482000,122069000,122578000,123069000,123478000,123964000,124425000,124829000,125178000,125472000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593
Population ages 0-14 (% of total population),30.2638998185348,29.4090360511151,28.4783588315277,27.5208035271587,26.6305075481979,25.865646980291,25.3362479597463,24.8589729031252,24.4767035918734,24.2264807535864,24.1139737097714,24.0350881297596,24.1118993941127,24.272703531296,24.3955692696292,24.4074025045369,24.4880393281476,24.3589150059021,24.0948741012743,23.8183056010953,23.5844140918954,23.1356268144885,22.8225592104026,22.5481599588985,22.1728407860808,21.6427538556865,21.1615409814765,20.5210123349035,19.7883453484432,19.0850656609478,18.475086671051,17.9207146876086,17.4380713541965,17.0188390881744,16.6274547615553,16.2464933858046,15.897104526643,15.5880598935457,15.3056487908653,15.038927220482,14.7838769769252,14.5791816685661,14.3664577374547,14.1592890154812,13.9778585248322,13.8298808950159,13.6870127683156,13.5867645614147,13.5125229185937,13.4392404806001,13.3547819838026,13.3060246827669,13.2424849017787,13.1659120021756,13.0814785354786,12.9893829152797,12.9143600079412,12.8143904375377,12.6968488090205,12.5730310225261,12.4485567318333,12.2989632021704
GDP growth (annual %),,12.0435364080116,8.90897299558067,8.47364238279391,11.6767081963977,5.81970787298265,10.6385615591629,11.0821423246929,12.8824681383234,12.4778945144976,2.45495838398273,4.6989920423419,8.413547255176,8.03259997495039,-1.22523982778432,3.09157591622022,3.97498409121211,4.39033795032562,5.27194150290775,5.48404183248661,2.81759120761602,4.26062449346863,3.27974274286728,3.63019857224671,4.41088015361535,5.15980790471274,3.29404761337059,4.64886139754491,6.66163652201594,4.92578541306383,4.84092905745234,3.52335723533228,0.900586066360461,-0.459219716150798,1.08338317429946,2.63099961644897,3.13387099280445,0.981228732132223,-1.27033049463975,-0.333929957747415,2.76464755143648,0.386103426145752,0.0419624993125609,1.53512549928013,2.1861156944216,1.80390087227372,1.37235012762038,1.48396941163492,-1.22428900072828,-5.69323635882266,4.09791791930137,0.0238095237748297,1.37475099920874,2.0051001767726,0.296205514142628,1.56062669674904,0.753826745903538,1.67533175166503,0.584068067242868,-0.240350840922716,-4.50690454226634,1.62079552541303
"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09999990463257,2.20000004768372,2.5,2.90000009536743,3.20000004768372,3.40000009536743,3.40000009536743,4.09999990463257,4.69999980926514,4.75,5.01999998092651,5.3899998664856,5.25,4.73000001907349,4.44999980926514,4.19000005722046,3.89000010490417,4,5.07000017166138,5.09999990463257,4.55000019073486,4.3600001335144,4,3.59999990463257,3.40000009536743,3.09999990463257,2.79999995231628,2.40000009536743,2.40000009536743,2.79999995231628,2.79900002479553
Exports of goods and services (% of GDP),,,,,,,,,,,10.3602229316695,11.2290280099129,10.1471057362053,9.6222984925392,13.0385566169683,12.2686467167852,12.9968270673906,12.5542989371718,10.6600990066647,11.0896497462881,13.1270794590245,14.1210806652663,13.9207380512559,13.2973861841987,14.393254505177,13.8932109827802,10.912478221455,9.9375960687789,9.57475509435745,10.1121220188227,10.2203993090958,9.78692144524935,9.69335173933928,9.07961178377964,8.83982712621505,8.81647043260959,9.31574508353,10.3836956397754,10.3738060985943,9.80553900156021,10.4634942027505,10.0767999632844,10.8554456072287,11.4658015766594,12.7862646247862,13.8158957221159,15.6573740466117,17.2891273707229,17.2355433764071,12.41956574798,14.9185034496428,14.7744622613499,14.4147746129824,15.7841567318773,17.4186553484795,17.4367598376529,16.0579692360598,17.5914391047836,18.3260176546997,17.4453778322738,15.5585542763298,
Imports of goods and services (% of GDP),,,,,,,,,,,9.20592189457562,8.68908892795979,7.99805850002055,9.67583298991118,13.865798165836,12.3293248927299,12.3294351619248,11.0747877547208,9.06720827028436,12.0544257313322,14.1006822241489,13.5077950546571,13.3725078030448,11.7627975790364,11.9473611770638,10.7028463885209,7.23875450698854,7.168959032765,7.61088645655665,8.76042246483375,9.44296678743895,8.28787019613317,7.63772487869044,6.9360032788805,6.97047910606066,7.57363450140765,8.93812314202219,9.39982198359144,8.62938012374338,8.32009171513089,9.09887738115494,9.48280450872269,9.5916764589296,9.86032369115249,10.8780887981112,12.4140588557406,14.3590020520575,15.5274506811561,16.8939331648175,11.9706007858756,13.5799692441961,15.4204984672798,16.0561363041928,18.1946119190738,20.0127792201784,17.990648516827,15.2522776095286,16.831774467385,18.3060461935761,17.7344423690114,15.8001573523187,
GDP per capita (current US$),475.319075592173,568.907742697122,639.640785435342,724.693762224539,843.616878543607,928.518848597045,1068.55843990563,1239.31837741267,1451.33770268101,1684.65940266378,2056.12204597008,2272.07780221047,2967.0419962342,3974.74560470548,4353.82435516245,4674.44548119394,5197.62233650784,6335.28687066895,8820.69194537469,9103.56475559867,9463.35385519596,10360.1782674787,9575.60771340783,10421.2124356394,10978.9198054992,11576.6921126865,17113.2623242419,20748.9909244528,25059.0074334621,24822.7755670655,25371.4641705246,28915.0082048082,31414.9846370412,35681.9639422506,39933.5150564874,44197.6191013908,39150.0396308089,35638.2319556941,32423.7556133801,36610.1683163197,39169.3595701504,34406.1824638092,32820.7936433254,35387.0374203599,38298.9801712303,37812.8950199948,35991.546002862,35779.0245416427,39876.3039685725,41308.9968370512,44968.1562349739,48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39727.1165995928,40458.0018755824,39918.1675583443,39285.1631062756
